muestra,t,M 5A,DUT 30A,
10,4801,70.027,606.949,
11,5332,70.459,648.764,
12,5864,68.389,346.744,
13,6396,67.414,351.681,
14,6929,72.247,335.345,
15,7461,71.114,346.297,
16,7994,70.759,350.322,
17,8525,65.922,346.407,
18,9058,70.065,344.969,
19,9588,67.144,352.861,
20,10126,68.577,350.835,
21,10658,69.043,354.664,
22,11190,71.895,342.743,
23,11722,66.803,364.890,
24,12254,69.092,345.688,
25,12786,71.803,337.289,
26,13318,67.925,359.254,
27,13850,69.147,220.623,
28,14383,73.042,144.238,
29,14915,69.863,143.926,
30,15448,67.592,142.761,
31,15979,68.293,141.266,
muestra,t,M 5A,DUT 30A,
2,537,67.815,139.331,
3,1070,65.828,158.257,
4,1600,66.792,243.541,
5,2132,65.769,241.894,
6,2677,64.550,258.781,
7,3230,65.846,493.585,
8,3770,66.571,496.729,
9,4319,67.763,577.801,
10,4860,66.440,630.008,
11,5394,68.012,646.223,
12,5928,65.723,338.691,
13,6461,66.215,331.556,
14,6994,64.664,352.014,
15,7526,68.605,354.912,
16,8058,67.352,350.583,
17,8590,64.683,363.174,
18,9123,68.916,351.170,
19,9655,67.657,342.962,
20,10221,66.043,347.566,
21,10753,63.705,359.186,
22,11286,66.577,347.274,
23,11819,66.372,364.274,
24,12351,65.640,364.827,
25,12883,68.357,354.139,
26,13416,68.743,351.189,
27,13948,73.747,195.658,
28,14485,69.143,147.849,
29,15019,69.104,140.275,
30,15550,68.560,143.015,
31,16083,67.809,139.431,
muestra,t,M 5A,DUT 30A,
2,539,69.653,141.106,
3,1070,70.168,153.408,
4,1603,71.458,235.761,
5,2134,67.664,235.928,
6,2665,69.497,239.355,
7,3199,65.673,497.562,
8,3730,70.450,513.823,
9,4261,71.022,577.752,
10,4794,69.817,629.717,
11,5326,69.051,640.872,
12,5858,67.906,339.098,
13,6390,68.485,336.318,
14,6922,69.374,337.890,
15,7454,69.620,339.830,
16,7986,69.969,345.281,
17,8522,68.770,344.569,
18,9054,73.063,352.434,
19,9584,67.804,346.514,
20,10118,68.947,353.833,
21,10647,69.484,348.320,
22,11181,68.153,358.169,
23,11711,64.510,354.793,
24,12245,68.626,363.066,
25,12775,67.114,356.200,
26,13310,65.910,328.498,
27,13840,66.539,179.591,
28,14373,69.278,142.073,
29,14905,69.651,142.396,
30,15438,68.875,145.969,
31,15969,68.111,143.152,
muestra,t,M 5A,DUT 30A,
2,537,69.477,144.017,
3,1069,65.355,160.467,
4,1602,66.365,228.129,
5,2133,69.070,240.500,
6,2683,66.066,230.117,
7,3217,71.704,484.657,
8,3749,67.296,504.256,
9,4282,67.331,580.522,
10,4814,67.106,622.153,
11,5347,66.588,660.374,
12,5879,68.061,347.351,
13,6410,72.289,342.132,
14,6943,69.652,334.915,
15,7475,71.015,331.625,
16,8007,72.538,338.230,
17,8539,68.188,348.399,
18,9071,70.551,344.435,
19,9603,61.159,357.588,
20,10136,73.983,350.144,
21,10668,65.495,339.909,
22,11201,67.018,344.453,
23,11733,64.075,345.143,
24,12264,75.445,337.199,
25,12802,66.341,352.225,
26,13334,63.055,334.395,
27,13866,61.552,178.744,
28,14397,74.773,136.290,
29,14930,66.952,136.180,
30,15461,71.445,141.363,
31,15994,68.179,138.361,
muestra,t,M 5A,DUT 30A,
2,539,65.729,137.263,
3,1079,68.582,150.783,
4,1643,61.796,220.485,
5,2174,76.319,222.313,
6,2706,69.321,269.900,
7,3238,69.061,501.863,
8,3770,72.395,521.898,
9,4301,64.025,602.598,
10,4834,68.150,618.878,
11,5365,69.799,605.528,
12,5897,67.102,328.637,
13,6429,68.877,327.046,
14,6966,70.600,341.316,
15,7499,67.626,334.570,
16,8031,65.275,346.498,
17,8565,66.320,339.050,
18,9097,68.966,345.896,
19,9630,67.794,342.298,
20,10161,62.878,366.550,
21,10693,67.907,361.992,
22,11226,66.683,345.435,
23,11757,69.164,346.495,
24,12289,70.829,354.206,
25,12820,72.056,349.527,
26,13352,68.244,350.902,
27,13884,66.824,199.230,
28,14417,72.246,141.958,
29,14950,64.525,137.829,
30,15483,69.455,140.857,
31,16014,71.312,133.867,
muestra,t,M 5A,DUT 30A,
2,545,71.315,136.338,
3,1075,68.950,147.276,
4,1609,69.130,224.622,
5,2139,65.942,235.512,
6,2672,65.795,228.091,
7,3204,67.150,485.386,
8,3736,67.644,485.728,
9,4267,68.068,579.952,
10,4799,66.361,625.223,
11,5332,65.842,651.869,
12,5864,69.332,329.617,
13,6395,68.682,339.191,
14,6926,70.066,328.965,
15,7458,70.024,339.229,
16,7990,66.859,345.623,
17,8523,65.727,347.062,
18,9054,68.034,348.569,
19,9586,71.026,351.106,
20,10119,69.976,357.342,
21,10651,67.641,347.427,
22,11189,68.479,360.379,
23,11723,72.657,341.064,
24,12254,73.501,337.624,
25,12786,68.521,350.057,
26,13318,68.479,343.262,
27,13850,68.360,238.101,
28,14382,69.509,134.449,
29,14915,69.396,136.338,
30,15446,69.403,137.417,
31,15979,65.854,142.756,
muestra,t,M 5A,DUT 30A,
2,539,67.312,134.182,
3,1072,69.940,147.746,
4,1604,74.920,230.216,
5,2136,67.649,225.962,
6,2668,66.967,228.272,
7,3199,74.291,488.692,
8,3732,65.712,517.974,
9,4265,71.540,568.559,
10,4797,69.698,618.403,
11,5334,68.504,664.043,
12,5868,69.689,341.628,
13,6399,66.212,340.892,
14,6933,69.128,331.094,
15,7464,69.284,336.147,
16,7996,65.394,338.601,
17,8527,67.014,333.308,
18,9060,65.580,350.994,
19,9590,72.184,353.424,
20,10159,70.349,341.966,
